"Zip","Total Cases","Deaths"
"60000","41","N/A"
"60001","9","N/A"
"60002","5,019","N/A"
"60004","11,116","N/A"
"60005","6,320","N/A"
"60006","37","N/A"
"60007","7,034","N/A"
"60008","5,489","N/A"
"60009","30","N/A"
"60010","8,792","N/A"
"60011","22","N/A"
"60012","2,824","N/A"
"60013","6,196","N/A"
"60014","12,809","N/A"
"60015","5,925","N/A"
"60016","14,165","N/A"
"60017","32","N/A"
"60018","7,278","N/A"
"60019","19","N/A"
"60020","2,215","N/A"
"60021","1,297","N/A"
"60022","1,706","N/A"
"60025","9,571","N/A"
"60026","3,163","N/A"
"60029","117","N/A"
"60030","7,297","N/A"
"60031","8,240","N/A"
"60033","3,850","N/A"
"60034","448","N/A"
"60035","5,701","N/A"
"60036","9","N/A"
"60038","14","N/A"
"60039","23","N/A"
"60040","1,233","N/A"
"60041","1,987","N/A"
"60042","1,753","N/A"
"60043","557","N/A"
"60044","2,025","N/A"
"60045","3,754","N/A"
"60046","7,524","N/A"
"60047","8,306","N/A"
"60048","5,456","N/A"
"60050","9,099","N/A"
"60051","5,676","N/A"
"60053","5,906","N/A"
"60055","26","N/A"
"60056","12,608","N/A"
"60057","10","N/A"
"60058","7","N/A"
"60059","6","N/A"
"60060","8,003","N/A"
"60061","5,190","N/A"
"60062","9,680","N/A"
"60063","11","N/A"
"60064","5,591","N/A"
"60065","26","N/A"
"60067","8,298","N/A"
"60068","9,529","N/A"
"60069","1,761","N/A"
"60070","3,648","N/A"
"60071","749","N/A"
"60072","202","N/A"
"60073","15,405","N/A"
"60074","8,048","N/A"
"60075","28","N/A"
"60076","8,349","N/A"
"60077","7,052","N/A"
"60078","26","N/A"
"60079","102","N/A"
"60080","9","N/A"
"60081","1,944","N/A"
"60082","24","N/A"
"60083","2,159","N/A"
"60084","3,398","N/A"
"60085","18,655","N/A"
"60086","29","N/A"
"60087","7,217","N/A"
"60088","1,405","N/A"
"60089","8,645","N/A"
"60090","9,442","N/A"
"60091","5,544","N/A"
"60092","8","N/A"
"60093","4,454","N/A"
"60094","12","N/A"
"60095","15","N/A"
"60096","1,404","N/A"
"60097","2,747","N/A"
"60098","8,028","N/A"
"60099","7,937","N/A"
"60101","10,947","N/A"
"60102","7,515","N/A"
"60103","10,247","N/A"
"60104","5,213","N/A"
"60105","22","N/A"
"60106","5,043","N/A"
"60107","9,565","N/A"
"60108","6,182","N/A"
"60109","171","N/A"
"60110","10,112","N/A"
"60111","52","N/A"
"60112","1,215","N/A"
"60113","83","N/A"
"60115","10,037","N/A"
"60116","20","N/A"
"60118","3,505","N/A"
"60119","2,477","N/A"
"60120","12,444","N/A"
"60121","53","N/A"
"60123","11,997","N/A"
"60124","5,792","N/A"
"60125","10","N/A"
"60126","11,377","N/A"
"60128","8","N/A"
"60129","66","N/A"
"60130","2,969","N/A"
"60131","4,861","N/A"
"60132","10","N/A"
"60133","9,852","N/A"
"60134","7,025","N/A"
"60135","1,878","N/A"
"60136","2,422","N/A"
"60137","9,237","N/A"
"60138","23","N/A"
"60139","8,373","N/A"
"60140","6,329","N/A"
"60141","182","N/A"
"60142","7,210","N/A"
"60143","2,748","N/A"
"60144","25","N/A"
"60145","548","N/A"
"60146","656","N/A"
"60147","43","N/A"
"60148","12,380","N/A"
"60150","379","N/A"
"60151","862","N/A"
"60152","2,806","N/A"
"60153","5,523","N/A"
"60154","4,019","N/A"
"60155","1,847","N/A"
"60156","7,588","N/A"
"60157","627","N/A"
"60159","85","N/A"
"60160","7,095","N/A"
"60161","30","N/A"
"60162","2,847","N/A"
"60163","1,358","N/A"
"60164","6,161","N/A"
"60165","1,240","N/A"
"60168","28","N/A"
"60169","7,157","N/A"
"60170","10","N/A"
"60171","2,494","N/A"
"60172","5,857","N/A"
"60173","2,475","N/A"
"60174","7,564","N/A"
"60175","6,250","N/A"
"60176","2,977","N/A"
"60177","6,609","N/A"
"60178","5,172","N/A"
"60179","7","N/A"
"60180","307","N/A"
"60181","7,473","N/A"
"60183","16","N/A"
"60184","518","N/A"
"60185","8,993","N/A"
"60186","18","N/A"
"60187","7,089","N/A"
"60188","10,780","N/A"
"60189","7,058","N/A"
"60190","2,794","N/A"
"60191","3,702","N/A"
"60192","2,735","N/A"
"60193","8,489","N/A"
"60194","4,379","N/A"
"60195","949","N/A"
"60196","15","N/A"
"60199","7","N/A"
"60201","8,536","N/A"
"60202","5,995","N/A"
"60203","843","N/A"
"60204","21","N/A"
"60208","71","N/A"
"60301","591","N/A"
"60302","6,183","N/A"
"60303","58","N/A"
"60304","3,235","N/A"
"60305","2,146","N/A"
"60401","1,823","N/A"
"60402","16,272","N/A"
"60403","4,800","N/A"
"60404","4,867","N/A"
"60406","5,389","N/A"
"60407","333","N/A"
"60408","1,404","N/A"
"60409","8,017","N/A"
"60410","3,260","N/A"
"60411","12,895","N/A"
"60412","33","N/A"
"60415","3,489","N/A"
"60416","2,474","N/A"
"60417","3,170","N/A"
"60418","2,244","N/A"
"60419","5,220","N/A"
"60420","1,210","N/A"
"60421","857","N/A"
"60422","2,262","N/A"
"60423","7,994","N/A"
"60424","500","N/A"
"60425","2,085","N/A"
"60426","5,781","N/A"
"60428","2,811","N/A"
"60429","3,849","N/A"
"60430","4,703","N/A"
"60431","7,389","N/A"
"60432","4,974","N/A"
"60433","4,135","N/A"
"60434","781","N/A"
"60435","12,361","N/A"
"60436","4,833","N/A"
"60437","47","N/A"
"60438","6,948","N/A"
"60439","5,651","N/A"
"60440","12,711","N/A"
"60441","8,313","N/A"
"60442","3,068","N/A"
"60443","4,452","N/A"
"60444","373","N/A"
"60445","4,197","N/A"
"60446","10,206","N/A"
"60447","3,648","N/A"
"60448","5,939","N/A"
"60449","1,863","N/A"
"60450","5,226","N/A"
"60451","8,896","N/A"
"60452","6,456","N/A"
"60453","13,523","N/A"
"60454","53","N/A"
"60455","3,867","N/A"
"60456","948","N/A"
"60457","3,069","N/A"
"60458","3,231","N/A"
"60459","6,694","N/A"
"60460","381","N/A"
"60461","835","N/A"
"60462","9,096","N/A"
"60463","3,595","N/A"
"60464","2,116","N/A"
"60465","3,905","N/A"
"60466","4,582","N/A"
