,county,state,county_population,covid_hospital_admissions_per_100k,covid_cases_per_100k,lon,lat
32240,Hardy County,West Virginia,13776.0,1.3,50.81,-78.8441276,39.0040008
32241,Allegany County,Maryland,70416.0,1.3,51.12,-78.6550628,39.6572451
32242,Garrett County,Maryland,29014.0,1.3,17.23,-79.2496976,39.544087
32243,Grant County,West Virginia,11568.0,1.3,25.93,-79.2066739,39.0674434
32244,Mineral County,West Virginia,26868.0,1.3,26.05,-78.9416922,39.3839905
32245,Gallatin County,Kentucky,8869.0,2.5,11.28,-84.8435828,38.7531444
32246,Pendleton County,Kentucky,14590.0,2.5,27.42,-84.3689142,38.6914606
32247,Grant County,Kentucky,25069.0,2.5,3.99,-84.6162564,38.6472221
32248,Kenton County,Kentucky,166998.0,2.5,52.7,-84.5331967,38.9252546
32249,Boone County,Kentucky,133581.0,2.5,56.89,-84.7160121,38.9589235
32250,Campbell County,Kentucky,93584.0,2.5,78.0,-84.3715286,38.9339799
32251,Windham County,Connecticut,116782.0,10.3,166.98,-72.0051201,41.8208345
32252,Hartford County,Connecticut,891720.0,10.3,201.3,-72.722324,41.7923478
32253,Tolland County,Connecticut,150721.0,10.3,155.25,-72.3562252,41.818446
32254,Bristol County,Rhode Island,48479.0,7.3,288.78,-71.2844401,41.7034082
32255,New London County,Connecticut,265206.0,7.3,230.76,-72.1237666,41.4915013
32256,Kent County,Rhode Island,164292.0,7.3,293.99,-71.602762,41.6722912
32257,Providence County,Rhode Island,638931.0,7.3,282.03,-71.5814834,41.8677428
32258,Washington County,Rhode Island,125577.0,7.3,297.83,-71.7039673,41.4619922
32259,Pulaski County,Kentucky,64979.0,0.0,30.78,-84.593893,37.1124781
32260,Wayne County,Kentucky,20333.0,0.0,9.84,-84.8250848,36.7822106
32261,McCreary County,Kentucky,17231.0,0.0,29.02,-84.4960095,36.735774
32262,Onondaga County,New York,460528.0,16.5,328.97,-76.2257127,43.015598
32263,Oswego County,New York,117124.0,16.5,305.66,-76.1279841,43.4112973
32264,Cayuga County,New York,76576.0,16.5,235.06,-76.5700777,42.8093409
32265,Estill County,Kentucky,14106.0,1.5,21.27,-83.9407279,37.6896864
32266,Madison County,Kentucky,92987.0,1.5,73.13,-84.2974735,37.7298081
32267,Jackson County,Kentucky,13329.0,1.5,45.01,-83.9913882,37.4200233
32268,Rockcastle County,Kentucky,16695.0,1.5,23.96,-84.3254309,37.3885959
32269,Lunenburg County,Virginia,12196.0,3.9,98.39,-78.2562001,36.9445279
32270,Halifax County,Virginia,33911.0,3.9,88.47,-78.9425634,36.747244
32271,Mecklenburg County,Virginia,30587.0,3.9,124.24,-78.314746,36.6798483
32272,Adair County,Kentucky,19202.0,2.7,46.87,-85.289922,37.0954558
32273,Russell County,Kentucky,17923.0,2.7,5.58,-85.02549351714558,37.0042935
32274,Green County,Kentucky,10941.0,2.7,9.14,-85.5346302,37.2433976
32275,Taylor County,Kentucky,25769.0,2.7,23.28,-85.3096607,37.3396409
32276,Orange County,New York,384940.0,9.5,86.51,-74.2507287,41.3873306
32277,Sullivan County,New York,75432.0,9.5,233.32,-74.7804323,41.7156311
32278,Pike County,Pennsylvania,55809.0,9.5,177.39,-75.008326,41.340546
32279,Belknap County,New Hampshire,61303.0,8.0,257.74,-71.4530581,43.5218848
32280,Merrimack County,New Hampshire,151391.0,8.0,160.51,-71.6854725,43.3260376
